Locationabbr,Locationdesc,Single,Drink_Alcohol
AL,Alabama,30.2,40.1
AK,Alaska,34.7,56.7
AZ,Arizona,33.4,51.7
AR,Arkansas,28.2,39.9
CA,California,36.8,53.6
CO,Colorado,31.6,61.2
CT,Connecticut,34.5,60.8
DE,Delaware,33.4,52.9
DC,District of Columbia,56.5,67.4
FL,Florida,31.6,54.4
GA,Georgia,34.4,48.1
HI,Hawaii,33.5,51
ID,Idaho,27,48.5
IL,Illinois,35.2,57.2
IN,Indiana,30.6,47.9
IA,Iowa,29,58.7
KS,Kansas,29.1,51.5
KY,Kentucky,28.4,37.2
LA,Louisiana,35.5,49.4
ME,Maine,28.7,59.2
MD,Maryland,35.4,53.3
MA,Massachusetts,37.1,61.9
MI,Michigan,33.2,57
MN,Minnesota,32,61.7
MS,Mississippi,33.6,38.8
MO,Missouri,30.5,45.5
MT,Montana,28.6,59.6
NE,Nebraska,29.7,59.2
NV,Nevada,33.7,50.6
NH,New Hampshire,29.6,62.5
NJ,New Jersey,34.7,56.3
NM,New Mexico,34.5,47.8
NY,New York,38.5,54.5
NC,North Carolina,31.4,46.2
ND,North Dakota,31.9,61.2
OH,Ohio,32.1,53.1
OK,Oklahoma,28.2,41.7
OR,Oregon,30.7,59
PA,Pennsylvania,33.6,54.6
RI,Rhode Island,36.1,63.2
SC,South Carolina,32.4,47.3
SD,South Dakota,30.6,55.6
TN,Tennessee,29.8,40.5
TX,Texas,32.4,48
UT,Utah,29.4,29.8
VT,Vermont,30.7,64.3
VA,Virginia,32,51.7
WA,Washington,30.9,59.5
WV,West Virginia,27.7,32.7
WI,Wisconsin,31.7,63.1
WY,Wyoming,27,51.7
PR,Puerto Rico,39.2,29.3
